route_id,trip_id,service_id,trip_short_name,trip_headsign,direction_id,shape_id
4,L4S7_142-LAB,Laborables,L4S7_142-LAB,MARITURRI / LAKUA,1,sha-b7033fa1
4,L4S7_149-LAB,Laborables,L4S7_149-LAB,LAKUA / MARITURRI,0,sha-f4f057a0
4,L4S7_158-LAB,Laborables,L4S7_158-LAB,MARITURRI / LAKUA,1,sha-b7033fa1
4,L4S7_165-LAB,Laborables,L4S7_165-LAB,LAKUA / MARITURRI,0,sha-f4f057a0
4,L4S7_174-LAB,Laborables,L4S7_174-LAB,MARITURRI / LAKUA,1,sha-b7033fa1
4,L4S8_004-LAB,Laborables,L4S8_004-LAB,MARITURRI / LAKUA,1,sha-b7033fa1
4,L4S8_007-LAB,Laborables,L4S8_007-LAB,LAKUA / MARITURRI,0,sha-f4f057a0
4,L4S8_016-LAB,Laborables,L4S8_016-LAB,MARITURRI / LAKUA,1,sha-b7033fa1
4,L4S8_023-LAB,Laborables,L4S8_023-LAB,LAKUA / MARITURRI,0,sha-f4f057a0
4,L4S8_032-LAB,Laborables,L4S8_032-LAB,MARITURRI / LAKUA,1,sha-b7033fa1
4,L4S8_039-LAB,Laborables,L4S8_039-LAB,LAKUA / MARITURRI,0,sha-f4f057a0
4,L4S8_048-LAB,Laborables,L4S8_048-LAB,MARITURRI / LAKUA,1,sha-b7033fa1
4,L4S8_055-LAB,Laborables,L4S8_055-LAB,LAKUA / MARITURRI,0,sha-f4f057a0
4,L4S8_064-LAB,Laborables,L4S8_064-LAB,MARITURRI / LAKUA,1,sha-b7033fa1
4,L4S8_071-LAB,Laborables,L4S8_071-LAB,LAKUA / MARITURRI,0,sha-f4f057a0
4,L4S8_080-LAB,Laborables,L4S8_080-LAB,MARITURRI / LAKUA,1,sha-b7033fa1
4,L4S8_087-LAB,Laborables,L4S8_087-LAB,LAKUA / MARITURRI,0,sha-f4f057a0
4,L4S8_096-LAB,Laborables,L4S8_096-LAB,MARITURRI / LAKUA,1,sha-b7033fa1
4,L4S8_103-LAB,Laborables,L4S8_103-LAB,LAKUA / MARITURRI,0,sha-f4f057a0
4,L4S8_112-LAB,Laborables,L4S8_112-LAB,MARITURRI / LAKUA,1,sha-b7033fa1
4,L4S8_119-LAB,Laborables,L4S8_119-LAB,LAKUA / MARITURRI,0,sha-f4f057a0
4,L4S8_128-LAB,Laborables,L4S8_128-LAB,MARITURRI / LAKUA,1,sha-b7033fa1
4,L4S8_135-LAB,Laborables,L4S8_135-LAB,LAKUA / MARITURRI,0,sha-f4f057a0
4,L4S8_144-LAB,Laborables,L4S8_144-LAB,MARITURRI / LAKUA,1,sha-b7033fa1
4,L4S8_151-LAB,Laborables,L4S8_151-LAB,LAKUA / MARITURRI,0,sha-f4f057a0
4,L4S8_160-LAB,Laborables,L4S8_160-LAB,MARITURRI / LAKUA,1,sha-b7033fa1
4,L4S9_001-LAB,Laborables,L4S9_001-LAB,LAKUA / MARITURRI,0,sha-f4f057a0
4,L4S9_002-LAB,Laborables,L4S9_002-LAB,MARITURRI / LAKUA,1,sha-b7033fa1
4,L4S9_003-LAB,Laborables,L4S9_003-LAB,LAKUA / MARITURRI,0,sha-f4f057a0
4,L4S9_004-LAB,Laborables,L4S9_004-LAB,MARITURRI / LAKUA,1,sha-b7033fa1
4,L4S9_005-LAB,Laborables,L4S9_005-LAB,LAKUA / MARITURRI,0,sha-f4f057a0
4,L4S9_006-LAB,Laborables,L4S9_006-LAB,MARITURRI / LAKUA,1,sha-b7033fa1
4,L4S9_007-LAB,Laborables,L4S9_007-LAB,LAKUA / MARITURRI,0,sha-f4f057a0
4,L4S9_008-LAB,Laborables,L4S9_008-LAB,MARITURRI / LAKUA,1,sha-b7033fa1
4,L4S9_009-LAB,Laborables,L4S9_009-LAB,LAKUA / MARITURRI,0,sha-f4f057a0
4,L4S9_010-LAB,Laborables,L4S9_010-LAB,MARITURRI / LAKUA,1,sha-b7033fa1
4,L4S9_011-LAB,Laborables,L4S9_011-LAB,LAKUA / MARITURRI,0,sha-f4f057a0
4,L4S9_012-LAB,Laborables,L4S9_012-LAB,MARITURRI / LAKUA,1,sha-b7033fa1
4,L4S9_013-LAB,Laborables,L4S9_013-LAB,LAKUA / MARITURRI,0,sha-f4f057a0
4,L4S9_014-LAB,Laborables,L4S9_014-LAB,MARITURRI / LAKUA,1,sha-b7033fa1
4,L4S9_015-LAB,Laborables,L4S9_015-LAB,LAKUA / MARITURRI,0,sha-f4f057a0
4,L4S9_016-LAB,Laborables,L4S9_016-LAB,MARITURRI / LAKUA,1,sha-b7033fa1
4,L4S9_017-LAB,Laborables,L4S9_017-LAB,LAKUA / MARITURRI,0,sha-f4f057a0
4,L4S9_018-LAB,Laborables,L4S9_018-LAB,MARITURRI / LAKUA,1,sha-b7033fa1
5,L5ESP21_001-LAB,Laborables,L5ESP21_001-LAB,ELEJALDE / ARKAIATE,1,sha-3bf555e7
5,L5ESP21_002-LAB,Laborables,L5ESP21_002-LAB,ARKAIATE / JUNDIZ ITV,0,sha-055a576e
5,L5ESP21_003-LAB,Laborables,L5ESP21_003-LAB,JUNDIZ ITV / ELEJALDE,1,sha-0b97a8cd
5,L5ESP21_004-LAB,Laborables,L5ESP21_004-LAB,ELEJALDE / ARKAIATE,1,sha-3bf555e7
5,L5ESP21_005-LAB,Laborables,L5ESP21_005-LAB,ARKAIATE / ARIÑEZ,0,sha-fca64b9a
5,L5ESP21_006-LAB,Laborables,L5ESP21_006-LAB,ARIÑEZ / ELEJALDE,0,sha-3b03b6dd
5,L5ESP21_007-LAB,Laborables,L5ESP21_007-LAB,ELEJALDE / ARKAIATE,1,sha-3bf555e7
5,L5ESP21_008-LAB,Laborables,L5ESP21_008-LAB,ARKAIATE / JUNDIZ ITV,0,sha-055a576e
5,L5ESP21_009-LAB,Laborables,L5ESP21_009-LAB,JUNDIZ ITV / ELEJALDE,1,sha-0b97a8cd
5,L5ESP21_010-LAB,Laborables,L5ESP21_010-LAB,ELEJALDE / ARKAIATE,1,sha-3bf555e7
5,L5ESP21_011-LAB,Laborables,L5ESP21_011-LAB,ARKAIATE / ARIÑEZ ITV,0,sha-ed636cf9
5,L5ESP22_001-LAB,Laborables,L5ESP22_001-LAB,ARKAIATE / JUNDIZ ITV,0,sha-055a576e
5,L5ESP22_002-LAB,Laborables,L5ESP22_002-LAB,JUNDIZ ITV / ELEJALDE,1,sha-0b97a8cd
5,L5ESP22_003-LAB,Laborables,L5ESP22_003-LAB,ELEJALDE / ARKAIATE,1,sha-3bf555e7
5,L5ESP22_004-LAB,Laborables,L5ESP22_004-LAB,ARKAIATE / ARIÑEZ,0,sha-fca64b9a
5,L5ESP22_005-LAB,Laborables,L5ESP22_005-LAB,ARIÑEZ / ELEJALDE,0,sha-3b03b6dd
5,L5ESP22_006-LAB,Laborables,L5ESP22_006-LAB,ARKAIATE / ARIÑEZ,0,sha-fca64b9a
5,L5ESP22_007-LAB,Laborables,L5ESP22_007-LAB,ARIÑEZ / ELEJALDE,0,sha-3b03b6dd
5,L5ESP3_001-LAB,Laborables,L5ESP3_001-LAB,ARKAIATE / ARIÑEZ,0,sha-fca64b9a
5,L5ESP3_002-LAB,Laborables,L5ESP3_002-LAB,ARIÑEZ / ELEJALDE,0,sha-3b03b6dd
5,L5ESP5_001-LAB,Laborables,L5ESP5_001-LAB,ARKAIATE / ARIÑEZ ITV,0,sha-ed636cf9
5,L5ESP5_002-LAB,Laborables,L5ESP5_002-LAB,ARIÑEZ ITV / ELEJALDE,0,sha-a3a71e67
5,L5ESP5_003-LAB,Laborables,L5ESP5_003-LAB,ELEJALDE / ARKAIATE,1,sha-3bf555e7
5,L5ESP5_004-LAB,Laborables,L5ESP5_004-LAB,ARKAIATE / ELEJALDE,0,sha-f9a4b24c
5,L5ESP5_005-LAB,Laborables,L5ESP5_005-LAB,ARIÑEZ ITV / PRADO,0,sha-59dc4439
5,L5ESP5_006-LAB,Laborables,L5ESP5_006-LAB,ARIÑEZ / ELEJALDE,0,sha-3b03b6dd
5,L5ESP5_007-LAB,Laborables,L5ESP5_007-LAB,ELEJALDE / ARKAIATE,1,sha-3bf555e7
