stop_id,stop_name,stop_lat,stop_lon,stop_code,zone_id,stop_timezone,stop_url,level_id,parent_station
1401,Bruselas hiribidea  /  Elorriaga  -  Av. Bruselas  /  Elorriaga,42.848753,-2.641533,1401,1,Europe/Madrid,,,
1099,Judimendi / San Juan,42.845627,-2.661374,1099,1,Europe/Madrid,,,
1225,Derechos Humanos / Reina Sofía,42.842172,-2.702970,1225,1,Europe/Madrid,,,
1280,Iruña / Baiona,42.862154,-2.697824,1280,1,Europe/Madrid,,,
1102,Valladolid 3,42.853239,-2.663149,1102,1,Europe/Madrid,,,
1156,Ramiro Maeztu 20,42.849145,-2.678264,1156,1,Europe/Madrid,,,
1037,Los Herrán 86,42.852725,-2.666794,1037,1,Europe/Madrid,,,
1081,Aragón,42.849170,-2.657531,1081,1,Europe/Madrid,,,
1347,Henry Morton Stanley / Av Los Huetos,42.852900,-2.698650,1347,1,Europe/Madrid,,,
1381,Iruña Veleia / Reina Sofía,42.836980,-2.705547,1381,1,Europe/Madrid,,,
1317,Larragana / Portal Bergara,42.867312,-2.650818,1317,1,Europe/Madrid,,,
1177,Adriano VI 17,42.847467,-2.682497,1177,1,Europe/Madrid,,,
1378,Zurrupitieta / Jundiz,42.841831,-2.736818,1378,1,Europe/Madrid,,,
1393,Bº Tomás Zumarraga 98,42.852014,-2.691394,1393,1,Europe/Madrid,,,
1395,Jacinto Benavente/Florida,42.841919,-2.658552,1395,1,Europe/Madrid,,,
1247,Wellington,42.859621,-2.691954,1247,1,Europe/Madrid,,,
1272,Portal Arriaga / Lascaray,42.870270,-2.680412,1272,1,Europe/Madrid,,,
1229,Av. Santiago 46,42.847860,-2.659510,1229,1,Europe/Madrid,,,
1123,Portal Gamarra 28,42.861468,-2.661909,1123,1,Europe/Madrid,,,
1131,Portal Foronda 35,42.862920,-2.684945,1131,1,Europe/Madrid,,,
1295,Prado,42.845922,-2.674805,1295,1,Europe/Madrid,,,
1051,Zumaquera,42.835865,-2.665105,1051,1,Europe/Madrid,,,
1359,Hegoalde,42.836099,-2.667875,1359,1,Europe/Madrid,,,
1352,Las Arenas / Mercedes,42.850050,-2.715156,1352,1,Europe/Madrid,,,
1104,Portal Legutiano 50,42.856136,-2.664763,1104,1,Europe/Madrid,,,
1133,Portal Arriaga / Venezuela,42.859493,-2.674184,1133,1,Europe/Madrid,,,
1027,Av. Gasteiz 45,42.847541,-2.681810,1027,1,Europe/Madrid,,,
1379,Iliada / Bulevar Salburua,42.844062,-2.648385,1379,1,Europe/Madrid,,,
1237,Madrid / Valladolid,42.852120,-2.657780,1237,1,Europe/Madrid,,,
1275,Micaela Portilla / Juzgados,42.843373,-2.681452,1275,1,Europe/Madrid,,,
1142,José María Cagigal 5,42.834453,-2.699074,1142,1,Europe/Madrid,,,
